3 | 24/01/2020 07:40:57 | AnonymusUser | 39.179.240.120 | websim | siguelinea_pibot_scratch_vision | 39.179.240.120 | [NO CONTAINER] Browser | Mozilla/5.0(Linux;Android 5.1.1;OPPO A33 Build/LMY47V;wv) AppleWebKit/537.36(KHTML,link Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36 LieBaoFast/4.51.3
3 | 24/01/2020 09:44:19 | admin | 92.191.11.65 | websim | sigue_linea_f1_python_websim | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 24/01/2020 09:44:24 | admin | 92.191.11.65 | websim | sigue_linea_f1_python_websim | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 24/01/2020 09:45:41 | admin | 92.191.11.65 | websim | follow_ball_drone_scratch | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 24/01/2020 09:45:46 | admin | 92.191.11.65 | websim | follow_ball_drone_scratch | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 24/01/2020 09:46:52 | admin | 92.191.11.65 | websim | follow_ball_drone_scratch | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 24/01/2020 09:46:55 | admin | 92.191.11.65 | websim | follow_ball_drone_scratch | 92.191.11.65 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
1 | 24/01/2020 10:20:47 | albertoymanu | 217.127.138.58 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
1 | 24/01/2020 10:20:49 | EvaFausto | 217.127.138.58 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36
1 | 24/01/2020 10:20:51 | manuja03 | 217.127.138.58 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36
3 | 24/01/2020 10:20:59 | albertoymanu | 217.127.138.58 | websim | siguelinea_pibot_scratch_ir | 217.127.138.58 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
